City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
81,Asau,RO,68.92,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
83,Iwanai,JP,43.83,overcast clouds,42.9744,140.5089,いわない高原ホテル
84,Balkanabat,TM,77.25,overcast clouds,39.5108,54.3671,Nebitchi Hotel
85,Varberg,SE,46.92,broken clouds,57.1056,12.2508,Varbergs Kusthotell
86,Hasaki,JP,55.8,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
87,Mana,GF,80.08,overcast clouds,5.6592,-53.7767,LE SAMANA
88,Siwana,IN,90.72,broken clouds,25.6333,72.4167,Surbhi nivas
90,Vung Tau,VN,80.22,broken clouds,10.346,107.0843,Seaside Resort
92,Navalcarnero,ES,65.21,broken clouds,40.2891,-4.012,Hotel Ciudad de Navalcarnero
93,Coihaique,CL,44.55,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
94,Fortuna,US,43.99,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
95,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
96,Moree,AU,64.42,overcast clouds,-29.4667,149.85,Molika Springs Motel
97,Ipixuna,BR,82.89,overcast clouds,-1.7625,-48.8043,Chalé do Mato
99,Tricase,IT,67.35,clear sky,39.9304,18.3553,Hotel Adriatico
100,Wewak,PG,78.19,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
102,Richards Bay,ZA,67.06,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
103,Payson,US,53.38,broken clouds,40.0444,-111.7321,Quality Inn Payson I-15
104,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
106,Harper,LR,86.02,overcast clouds,4.375,-7.7169,Screensaver
107,Bredasdorp,ZA,64.83,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
108,West Odessa,US,63.05,clear sky,31.8424,-102.4988,Corporate Mobile Housing
109,El Retorno,CO,87.26,overcast clouds,2.3302,-72.6276,Hostal la posada de Rita
110,Chute-Aux-Outardes,CA,35.58,overcast clouds,49.1168,-68.399,Camp St-Paul Gite Plein-Air
111,Busselton,AU,59.7,overcast clouds,-33.65,115.3333,Observatory Guest House
113,Vestmannaeyjar,IS,38.39,broken clouds,63.4427,-20.2734,Glamping & Camping
114,Patti,IN,93.27,clear sky,31.2808,74.8572,harike air travel
116,Coquimbo,CL,56.93,light intensity drizzle,-29.9533,-71.3436,Hotel San Juan
117,Ibra,OM,91.42,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
118,Katsuura,JP,62.71,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
119,Qingdao,CN,62.2,clear sky,36.0986,120.3719,Le Meridien Qingdao
121,Margate,GB,54.3,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
122,Castro,BR,76.89,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
123,Abu Dhabi,AE,91.51,clear sky,24.4667,54.3667,Beach Rotana
124,Bria,CF,99.3,broken clouds,6.5423,21.9863,WFP Guesthouse
126,Biloela,AU,71.78,broken clouds,-24.4167,150.5,Biloela Silo Motor Inn
127,Lander,US,54.1,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
128,Placido De Castro,BR,88.09,overcast clouds,-10.3353,-67.1856,Hotel Carioca
130,Kaitangata,NZ,51.31,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
132,Bayir,TR,68.52,scattered clouds,37.2687,28.2167,Hotel Babadag
134,Sao Filipe,CV,76.19,broken clouds,14.8961,-24.4956,Hotel Xaguate
135,Roquetas De Mar,ES,69.62,clear sky,36.7642,-2.6148,Mediterráneo Bay hotel & resort
136,Hilo,US,69.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
137,Knokke-Heist,BE,50.45,scattered clouds,51.3333,3.3333,Hotel Reserve
138,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
139,Saint George,US,52.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
140,Naze,JP,65.32,clear sky,28.3667,129.4833,Shishime Hotel
141,Vardo,NO,35.69,overcast clouds,70.3705,31.1107,Vardø Hotel AS
