City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ereymentau,KZ,2022-04-05 13:36:46,51.6199,73.1033,41.81,92,100,11.79
68,Dukat,RU,2022-04-05 13:36:46,62.55,155.55,2.61,98,99,3.4
69,San Marcos,US,2022-04-05 13:34:46,33.1434,-117.1661,60.15,88,0,3.0
70,Patrasaer,IN,2022-04-05 13:36:46,23.2167,87.5167,86.11,56,6,17.13
71,Sao Joao Da Barra,BR,2022-04-05 13:36:47,-21.6403,-41.0511,86.09,70,100,6.89
72,Tasiilaq,GL,2022-04-05 13:36:47,65.6145,-37.6368,28.56,85,47,4.09
73,Comodoro Rivadavia,AR,2022-04-05 13:36:47,-45.8667,-67.5,67.86,42,0,19.57
74,Pevek,RU,2022-04-05 13:36:48,69.7008,170.3133,-23.87,100,67,4.59
75,Prince Albert,CA,2022-04-05 13:36:48,53.2001,-105.7677,35.55,87,100,19.57
76,Sibolga,ID,2022-04-05 13:36:48,1.7427,98.7792,77.61,88,99,3.83
77,Sohag,EG,2022-04-05 13:36:49,26.557,31.6948,104.29,2,1,11.97
78,Nadigaon,IN,2022-04-05 13:36:49,26.1167,79.0333,93.54,5,61,7.45
79,Jizan,SA,2022-04-05 13:36:49,17.3333,42.6667,94.14,22,0,12.48
80,Hilo,US,2022-04-05 13:36:50,19.7297,-155.09,69.53,93,100,8.05
81,Mbuji-Mayi,CD,2022-04-05 13:36:50,-6.15,23.6,90.61,43,26,1.03
82,Tual,ID,2022-04-05 13:36:50,-5.6667,132.75,82.63,69,44,8.5
83,Chokurdakh,RU,2022-04-05 13:36:51,70.6333,147.9167,-14.84,99,96,7.31
84,Santa Rita,BR,2022-04-05 13:33:21,-7.1139,-34.9781,84.87,74,75,8.05
85,Date,JP,2022-04-05 13:36:51,42.4681,140.8681,41.16,85,0,3.69
86,Hay River,CA,2022-04-05 13:32:31,60.8156,-115.7999,24.78,80,75,10.36
87,Solton,RU,2022-04-05 13:36:51,52.8429,86.4787,39.38,98,100,1.97
88,Camopi,GF,2022-04-05 13:36:52,3.1655,-52.3158,80.26,82,75,4.12
89,Esmeraldas,BR,2022-04-05 13:36:52,-19.7625,-44.3139,84.31,52,83,2.17
90,Saldanha,ZA,2022-04-05 13:36:52,-33.0117,17.9442,64.45,71,4,9.08
91,Kavaratti,IN,2022-04-05 13:36:53,10.5669,72.642,83.46,73,8,5.57
92,Pacific Grove,US,2022-04-05 13:37:53,36.6177,-121.9166,51.48,92,1,1.99
93,Schwechat,AT,2022-04-05 13:37:53,48.1333,16.4667,52.75,76,40,23.02
94,Kapaa,US,2022-04-05 13:36:04,22.0752,-159.319,71.92,96,100,14.97
95,Rawson,AR,2022-04-05 13:37:54,-43.3002,-65.1023,70.93,40,13,26.06
96,Karratha,AU,2022-04-05 13:37:54,-20.7377,116.8463,85.33,59,0,12.15
97,Ostrovnoy,RU,2022-04-05 13:37:55,68.0531,39.5131,23.58,88,100,13.53
98,Taoyuan,CN,2022-04-05 13:37:55,32.2972,120.6167,58.03,80,48,5.68
99,Moerai,PF,2022-04-05 13:37:55,-22.4333,-151.3333,80.65,75,75,9.04
100,Upernavik,GL,2022-04-05 13:37:56,72.7868,-56.1549,23.25,92,100,7.38
101,Barrow,US,2022-04-05 13:35:31,71.2906,-156.7887,-9.38,70,75,5.75
102,Suraabad,AZ,2022-04-05 13:37:56,40.8192,49.4687,64.9,38,77,29.12
103,Dingle,PH,2022-04-05 13:37:57,10.9995,122.6711,75.88,91,100,6.73
104,Dikson,RU,2022-04-05 13:37:57,73.5069,80.5464,5.68,74,100,17.58
105,Chipinge,ZW,2022-04-05 13:37:57,-20.1883,32.6236,76.44,65,83,4.94
106,Herat,AF,2022-04-05 13:37:58,34.5,62.0,77.25,23,24,11.68
107,Pangnirtung,CA,2022-04-05 13:37:58,66.1451,-65.7125,6.8,78,75,9.22
108,Bambous Virieux,MU,2022-04-05 13:37:58,-20.3428,57.7575,80.85,78,40,12.66
